timestamp,frame,fps,latency_ms,yolo_inference_ms,face_mesh_ms,cpu_usage_percent
2026-08-20 19:52:08,388,37.49,8.15,0.0,5.11,61.9
2026-08-20 19:52:08,389,39.8,8.67,0.0,5.32,85.0
2026-08-20 19:52:08,390,37.61,48.49,18.95,3.51,73.8
2026-08-20 19:52:08,391,38.42,7.39,0.0,4.84,65.0
2026-08-20 19:52:08,392,38.97,14.62,0.0,3.89,78.4
2026-08-20 19:52:08,393,38.76,24.24,18.45,3.37,65.2
2026-08-20 19:52:08,394,36.8,45.9,0.0,5.27,72.5
2026-08-20 19:52:08,395,37.22,6.8,0.0,3.74,61.9
2026-08-20 19:52:08,396,35.01,56.7,22.61,5.38,80.0
2026-08-20 19:52:08,397,38.08,8.51,0.0,5.17,62.5
2026-08-20 19:52:08,398,38.44,16.52,0.0,6.35,63.6
2026-08-20 19:52:09,399,36.69,32.27,23.89,5.36,78.7
2026-08-20 19:52:09,400,37.61,6.6,0.0,3.56,80.6
2026-08-20 19:52:09,401,39.27,9.06,0.0,4.03,68.2
2026-08-20 19:52:09,402,36.99,53.71,23.23,4.47,72.5
2026-08-20 19:52:09,403,39.24,7.41,0.0,4.35,60.9
2026-08-20 19:52:09,404,39.29,17.12,0.0,4.35,65.0
2026-08-20 19:52:09,405,37.69,28.12,20.0,3.78,75.9
2026-08-20 19:52:09,406,36.78,31.06,0.0,3.41,61.9
2026-08-20 19:52:09,407,37.28,7.36,0.0,3.66,67.5
2026-08-20 19:52:09,408,35.13,54.99,24.25,3.67,72.2
2026-08-20 19:52:09,409,38.03,8.08,0.0,4.1,75.0
2026-08-20 19:52:09,410,37.87,19.49,0.0,5.42,81.0
2026-08-20 19:52:09,411,36.12,36.44,27.67,4.92,80.6
2026-08-20 19:52:09,412,37.39,8.97,0.0,5.71,81.0
2026-08-20 19:52:09,413,40.77,7.52,0.0,4.49,85.0
2026-08-20 19:52:09,414,38.26,59.83,21.13,3.89,79.8
2026-08-20 19:52:09,415,41.04,8.26,0.0,3.82,78.9
2026-08-20 19:52:09,416,40.61,20.0,0.0,3.95,73.2
2026-08-20 19:52:09,417,38.84,31.57,22.2,5.18,72.9
2026-08-20 19:52:09,418,37.4,25.5,0.0,6.76,65.9
2026-08-20 19:52:09,419,41.38,6.97,0.0,3.99,80.0
2026-08-20 19:52:09,420,38.74,57.69,19.55,5.07,74.7
2026-08-20 19:52:09,421,42.66,6.56,0.0,3.61,65.0
2026-08-20 19:52:09,422,41.46,23.67,0.0,4.71,72.5
2026-08-20 19:52:09,423,39.84,31.33,20.9,5.2,71.2
2026-08-20 19:52:09,424,39.92,8.9,0.0,3.97,72.7
2026-08-20 19:52:09,425,42.44,8.79,0.0,3.83,65.0
2026-08-20 19:52:09,426,39.63,63.57,21.14,4.18,74.5
2026-08-20 19:52:09,427,40.0,7.15,0.0,4.12,59.1
2026-08-20 19:52:09,428,41.8,8.41,0.0,3.41,66.7
2026-08-20 19:52:10,429,40.46,27.65,20.64,3.28,81.8
2026-08-20 19:52:10,430,38.62,40.97,0.0,3.44,60.0
2026-08-20 19:52:10,431,40.87,9.78,0.0,5.72,78.9
2026-08-20 19:52:10,432,38.15,66.9,24.96,3.8,69.9
2026-08-20 19:52:10,433,39.36,7.42,0.0,4.41,65.0
2026-08-20 19:52:10,434,41.0,9.41,0.0,4.32,81.6
2026-08-20 19:52:10,435,39.48,32.21,23.31,5.74,71.4
2026-08-20 19:52:10,436,39.08,12.46,0.0,4.18,66.7
